phi,V,sigma,residual
0.09757575757575758,1.3955703020376888,0.1383039897933002,0.13685749007776393
0.0998989898989899,1.384832701214931,0.14058226280351174,0.10232010746876408
0.10222222222222223,1.2671730800283743,0.14274860746502477,-0.03791526422870373
0.10454545454545455,1.525867584194381,0.14480189912777044,0.19889663918592904
0.10686868686868688,1.4066491921756337,0.1467411547816404,0.058980317580087815
0.1091919191919192,1.199879033727468,0.14856550531210175,-0.16741024833268714
0.11151515151515153,1.5081693580683753,0.1502741839670364,0.12196538542800006
0.11383838383838385,1.4128127046505545,0.15186652927381747,0.009355997524381765
0.11616161616161617,1.2458513032175034,0.15334197420807133,-0.17389988671222745
0.1184848484848485,1.543716201471742,0.1547000369260191,0.10945372764341155
0.12080808080808082,1.4232996898368462,0.15594028308166277,-0.02431966219493109
0.12313131313131315,1.427289875120798,0.1570623877304877,-0.03219761520755582
0.12545454545454546,1.5927384243577303,0.15806606074208895,0.12314098520566463
0.1277777777777778,1.1603227614052807,0.15895110797137282,-0.318060407226874
0.1301010101010101,1.3128855354667706,0.15971734272256247,-0.17304124633753837
0.13242424242424244,1.4556292173805936,0.16036470444112735,-0.03613367667007017
0.13474747474747475,1.5693566035727269,0.16089314122438317,0.07383928970448861
0.1370707070707071,1.4262922927786026,0.1613026642008169,-0.07175263148604638
0.1393939393939394,1.3755703881743733,0.16159337453156125,-0.12328357261948453
0.14171717171717174,1.3681962633511071,0.16176536672062722,-0.12941796030047703
0.14404040404040405,1.5200242175400347,0.16181887215030158,0.024893841993822052
0.1463636363636364,1.6475105860560681,0.16175409495287574,0.15637518018949792
0.1486868686868687,1.3021231180507915,0.16157137643002964,-0.183337645140359
0.151010101010101,1.1977386768049962,0.1612710782569718,-0.28078617319416943
0.15333333333333335,1.481018160131966,0.1608536304472589,0.010897347929567758
0.15565656565656566,1.4619869195235777,0.16031953683053962,0.0016623216137245933
0.157979797979798,1.3712511803383534,0.15966938134768313,-0.07774933626377778
0.1603030303030303,1.605532574454704,0.15890381492829642,0.16891745670912028
0.16262626262626265,1.626198826326735,0.15802357734873254,0.2034146556858767
0.16494949494949496,1.3999740700283514,0.1570294810012863,-0.008123292218032319
0.1672727272727273,1.423174434363489,0.1559224440093335,0.03073808623307972
0.1695959595959596,1.5521928713740096,0.15470350785307194,0.17586582578623156
0.17191919191919194,1.3841189922341,0.15337379124154055,0.024649230018394253
0.17424242424242425,1.221530283418454,0.15193456450355514,-0.120421572415917
0.1765656565656566,1.4081583442195882,0.15038719672207818,0.08412153114041043
0.1788888888888889,1.2662810347718643,0.1487332483745294,-0.03930350981576991
0.18121212121212124,1.42988874749912,0.14697440687784788,0.14309801366753505
0.18353535353535355,1.2889577578063092,0.14511255920819485,0.02154351078795358
0.1858585858585859,1.3142603737098772,0.143149789603698,0.0655497407105663
0.1881818181818182,1.3925986689932626,0.14108838834036191,0.162817552784273
0.1905050505050505,1.2788764062988867,0.13893092409453292,0.0680981988173377
0.19282828282828285,1.1854072204975328,0.13668023316457642,-0.006653962492164656
0.19515151515151516,1.11167284257831,0.1343394592642788,-0.06193273712936276
0.1974747474747475,1.4477188195485873,0.13191213560830595,0.29236614636430613
0.1997979797979798,1.3367185903281027,0.1294021805760397,0.1993474258482184
0.20212121212121215,0.9747252754906359,0.12681401081816754,-0.1451240541303751
0.20444444444444446,1.0057291996597586,0.12415257785076925,-0.09734392225889255
0.2067676767676768,1.177423519228858,0.12142347524934775,0.09055008014404264
0.2090909090909091,1.0060165144298456,0.11863305343233332,-0.06506274115063171
0.21141414141414144,1.0461210158614203,0.11578854906648359,-0.009650547958248934
0.21373737373737375,1.1041267663945191,0.11289827316715516,0.06292603395211671
0.2160606060606061,0.9936429524074569,0.10997184341738477,-0.03367388551455497
0.2183838383838384,0.9323947125910824,0.1070205092710958,-0.08172790313975009
0.22070707070707074,0.8632963088797585,0.10405760105759841,-0.13812983554374014
0.22303030303030305,0.8699577789362724,0.10109920701577636,-0.11968788168699929
0.22535353535353536,0.8827319548812884,0.09816523951549241,-0.09564650425092136
0.2276767676767677,0.9763715937807008,0.09528127318869907,0.008449242052317785
0.23,0.8764997717087678,0.09248207656338064,-0.08160098853217357
