phi,V,sigma,residual
0.0,-0.7839242657326971,0.08520459905093103,-0.16122219661869963
0.0023232323232323234,-0.7105679116310236,0.08208943119622636,-0.13556652575221173
0.004646464646464647,-0.6602272554870413,0.07804209510374487,-0.1350800362148128
0.00696969696969697,-0.5230561797109643,0.07379608355481121,-0.04804951721178413
0.009292929292929294,-0.5011727983839094,0.06957992066077877,-0.07626123211185754
0.011616161616161618,-0.4153634248091505,0.06553483162299895,-0.040848732750015326
0.01393939393939394,-0.31065534486157326,0.061771688230602695,0.013594244088069363
0.016262626262626263,-0.2514461226415533,0.05838890573365813,0.02248558562061903
0.018585858585858588,-0.21401633557160907,0.05547809296582682,0.009635014607118714
0.020909090909090912,-0.20341479177500127,0.053123340207763235,-0.02982867677995288
0.023232323232323236,-0.1577789178602823,0.05139609393212284,-0.034314734208631875
0.025555555555555557,-0.10006397930182147,0.05034736826849012,-0.026657145453841916
0.02787878787878788,-0.016952192265059046,0.0500000057865557,0.0064658875254993455
0.030202020202020206,0.0561918370943084,0.050344306118482465,0.029905773785428302
0.032525252525252527,0.06658742968256401,0.05133936390881938,-0.009397203886307257
0.03484848484848485,0.1133193535217003,0.05291998166241755,-0.012068933263563064
0.037171717171717175,0.24610430726420585,0.05500665502323508,0.07146340111890592
0.0394949494949495,0.1777572279769904,0.05751542662975098,-0.04574134930472279
0.041818181818181824,0.3275404358520043,0.06036542170187132,0.05540654044765653
0.04414141414141415,0.4182025355026433,0.06348336213028877,0.09779094971661856
0.04646464646464647,0.37722787112517575,0.0668055232186269,0.008900378711191648
0.04878787878787879,0.4156452094662255,0.07027795013013026,-0.0003289423801324798
0.051111111111111114,0.4873915885479459,0.07385569273056872,0.024063335625723492
0.05343434343434344,0.6423807294832068,0.07750166420413061,0.13234798476250287
0.05575757575757576,0.6290740111257302,0.08118538078321337,0.07275879625362913
0.05808080808080809,0.527229389445266,0.08488179770381021,-0.07484947976626755
0.06040404040404041,0.6935785601299095,0.08857032566727524,0.046251710813831726
0.06272727272727273,0.8685707668870092,0.09223395964124725,0.17671340136240277
